delta,n,criterion,mean,se
0.0,800,eff:balanced_accuracy,0.05808,0.00233
0.0,800,eff:eav_efficiency,0.04794,0.00207
0.0,800,random,0.02525,0.00047
0.0,1600,accuracy,0.00459,0.00017
0.0,1600,f1,0.00233,0.0001
0.0,1600,balanced_accuracy,0.00051,3e-05
0.0,1600,eav_plugin_naive,0.00923,0.00026
0.0,1600,eav_plugin,0.01323,0.00033
0.0,1600,eav_structural,0.001,7e-05
0.0,1600,eff:accuracy,0.0216,0.00119
0.0,1600,eff:balanced_accuracy,0.05473,0.00226
0.0,1600,eff:eav_efficiency,0.02975,0.00153
0.0,1600,random,0.02524,0.00047
0.5,50,accuracy,0.03054,0.00071
0.5,50,f1,0.02994,0.00071
0.5,50,balanced_accuracy,0.03208,0.00077
0.5,50,eav_plugin_naive,0.03922,0.00095
0.5,50,eav_plugin,0.06076,0.00128
0.5,50,eav_structural,0.03436,0.00084
0.5,50,eff:accuracy,0.18539,0.00484
0.5,50,eff:balanced_accuracy,0.21792,0.00512
0.5,50,eff:eav_efficiency,0.21215,0.00507
0.5,50,random,0.05993,0.00131
0.5,100,accuracy,0.0257,0.00065
0.5,100,f1,0.02596,0.00065
0.5,100,balanced_accuracy,0.02861,0.00071
0.5,100,eav_plugin_naive,0.03552,0.00089
0.5,100,eav_plugin,0.0535,0.00118
0.5,100,eav_structural,0.03059,0.00079
0.5,100,eff:accuracy,0.15394,0.00433
0.5,100,eff:balanced_accuracy,0.18515,0.00478
0.5,100,eff:eav_efficiency,0.16289,0.00451
0.5,100,random,0.05633,0.00126
0.5,200,accuracy,0.02429,0.00061
0.5,200,f1,0.02434,0.00061
0.5,200,balanced_accuracy,0.02715,0.00067
0.5,200,eav_plugin_naive,0.02907,0.00071
0.5,200,eav_plugin,0.03983,0.0009
0.5,200,eav_structural,0.02569,0.00067
0.5,200,eff:accuracy,0.12102,0.00387
0.5,200,eff:balanced_accuracy,0.15603,0.0044
0.5,200,eff:eav_efficiency,0.11781,0.00383
0.5,200,random,0.05812,0.00134
0.5,400,accuracy,0.02382,0.0006
0.5,400,f1,0.02318,0.00057
0.5,400,balanced_accuracy,0.02506,0.00064
0.5,400,eav_plugin_naive,0.02167,0.00058
0.5,400,eav_plugin,0.02924,0.00071
0.5,400,eav_structural,0.0203,0.00058
0.5,400,eff:accuracy,0.1065,0.00361
0.5,400,eff:balanced_accuracy,0.13369,0.00405
0.5,400,eff:eav_efficiency,0.07099,0.00282
0.5,400,random,0.05784,0.0013
0.5,800,accuracy,0.0214,0.00057
0.5,800,f1,0.02052,0.00055
0.5,800,balanced_accuracy,0.02344,0.00062
0.5,800,eav_plugin_naive,0.01375,0.00042
0.5,800,eav_plugin,0.0184,0.00052
0.5,800,eav_structural,0.01358,0.00043
0.5,800,eff:accuracy,0.0904,0.00329
0.5,800,eff:balanced_accuracy,0.11642,0.00386
0.5,800,eff:eav_efficiency,0.04269,0.00207
0.5,800,random,0.05774,0.00126
0.5,1600,accuracy,0.02151,0.00056
0.5,1600,f1,0.02137,0.00056
0.5,1600,balanced_accuracy,0.02319,0.00059
0.5,1600,eav_plugin_naive,0.00858,0.00029
0.5,1600,eav_plugin,0.01077,0.00034
0.5,1600,eav_structural,0.009,0.00031
0.5,1600,eff:accuracy,0.08571,0.00311
0.5,1600,eff:balanced_accuracy,0.11198,0.00368
0.5,1600,eff:eav_efficiency,0.02361,0.00141
0.5,1600,random,0.05726,0.00128
1.0,50,accuracy,0.04097,0.00109
1.0,50,f1,0.0422,0.00112
1.0,50,balanced_accuracy,0.04874,0.00131
1.0,50,eav_plugin_naive,0.05177,0.00135
1.0,50,eav_plugin,0.08277,0.00189
1.0,50,eav_structural,0.05438,0.00148
1.0,50,eff:accuracy,0.24679,0.00583
1.0,50,eff:balanced_accuracy,0.26624,0.00601
1.0,50,eff:eav_efficiency,0.22157,0.00555
1.0,50,random,0.09744,0.0023
1.0,100,accuracy,0.03785,0.00104
1.0,100,f1,0.03895,0.0011
1.0,100,balanced_accuracy,0.04559,0.00128
1.0,100,eav_plugin_naive,0.04063,0.00109
1.0,100,eav_plugin,0.05891,0.00137
1.0,100,eav_structural,0.04549,0.00122
1.0,100,eff:accuracy,0.21209,0.00538
1.0,100,eff:balanced_accuracy,0.2419,0.00575
1.0,100,eff:eav_efficiency,0.16,0.00478
1.0,100,random,0.10166,0.00234
1.0,200,accuracy,0.03432,0.00098
1.0,200,f1,0.03508,0.00102
1.0,200,balanced_accuracy,0.04296,0.00126
1.0,200,eav_plugin_naive,0.02908,0.00082
1.0,200,eav_plugin,0.04335,0.00107
1.0,200,eav_structural,0.03222,0.00097
1.0,200,eff:accuracy,0.18838,0.00517
1.0,200,eff:balanced_accuracy,0.22198,0.0055
1.0,200,eff:eav_efficiency,0.10805,0.00388
1.0,200,random,0.0982,0.00226
1.0,400,accuracy,0.03241,0.00093
1.0,400,f1,0.03294,0.00098
1.0,400,balanced_accuracy,0.04062,0.0012
1.0,400,eav_plugin_naive,0.01937,0.0006
1.0,400,eav_plugin,0.02774,0.00076
1.0,400,eav_structural,0.02112,0.00065
1.0,400,eff:accuracy,0.17254,0.00493
1.0,400,eff:balanced_accuracy,0.19602,0.00527
1.0,400,eff:eav_efficiency,0.06233,0.00279
1.0,400,random,0.10022,0.0024
1.0,800,accuracy,0.03322,0.00091
1.0,800,f1,0.03478,0.00098
1.0,800,balanced_accuracy,0.03982,0.00113
1.0,800,eav_plugin_naive,0.01276,0.00043
1.0,800,eav_plugin,0.01677,0.00054
1.0,800,eav_structural,0.01265,0.00044
1.0,800,eff:accuracy,0.17479,0.00491
1.0,800,eff:balanced_accuracy,0.1891,0.00514
1.0,800,eff:eav_efficiency,0.03878,0.00205
1.0,800,random,0.09954,0.00239
1.0,1600,accuracy,0.03402,0.00093
1.0,1600,f1,0.03512,0.00097
1.0,1600,balanced_accuracy,0.041,0.00118
1.0,1600,eav_plugin_naive,0.0077,0.00031
1.0,1600,eav_plugin,0.00956,0.00036
1.0,1600,eav_structural,0.00769,0.00031
1.0,1600,eff:accuracy,0.17315,0.0049
1.0,1600,eff:balanced_accuracy,0.19452,0.00523
1.0,1600,eff:eav_efficiency,0.0198,0.00129
1.0,1600,random,0.10183,0.00234
